Tanggal;Terinfeksi;Sembuh;Meninggal;Total Kasus;Removed;Died
12/31/2022;293;101524;1485;103302;50;0
01/01/2023;259;101571;1485;103315;47;0
01/02/2023;259;101571;1485;103315;0;0
01/03/2023;237;101638;1485;103360;67;0
01/04/2023;251;101658;1485;103394;20;0
01/05/2023;219;101708;1485;103412;50;0
01/06/2023;219;101708;1485;103412;0;0
01/07/2023;191;101782;1485;103458;74;0
01/08/2023;191;101782;1485;103458;0;0
01/09/2023;218;101782;1485;103485;0;0
01/10/2023;218;101782;1485;103485;0;0
01/11/2023;206;101834;1485;103525;52;0
01/12/2023;205;101850;1485;103540;16;0
1/13/2023;198;101877;1485;103560;27;0
1/14/2023;174;101915;1485;103574;38;0
1/15/2023;174;101915;1485;103574;0;0
1/16/2023;174;101915;1485;103574;0;0
1/17/2023;136;101992;1485;103613;77;0
1/18/2023;141;102001;1485;103627;9;0
1/19/2023;138;102021;1485;103644;20;0
1/20/2023;138;102021;1485;103644;0;0
1/21/2023;120;102062;1485;103667;41;0
1/22/2023;120;102062;1485;103667;0;0
1/23/2023;105;102093;1485;103683;31;0
1/24/2023;102;102108;1485;103695;15;0
1/25/2023;115;102115;1485;103715;7;0
1/26/2023;115;102115;1485;103715;0;0
1/27/2023;104;102146;1485;103735;31;0
1/28/2023;104;102146;1485;103735;0;0
1/29/2023;83;102179;1485;103747;33;0
1/30/2023;83;102188;1485;103756;9;0
1/31/2023;83;102188;1485;103756;0;0
02/01/2023;69;102218;1485;103772;30;0
02/02/2023;62;102235;1485;103782;17;0
02/03/2023;71;102235;1485;103791;0;0
02/04/2023;71;102235;1485;103791;0;0
02/05/2023;69;102253;1485;103807;18;0
02/06/2023;69;102253;1485;103807;0;0
02/07/2023;69;102271;1485;103825;18;0
02/08/2023;75;102274;1485;103834;3;0
02/09/2023;76;102280;1485;103841;6;0
02/10/2023;76;102280;1485;103841;0;0
02/11/2023;76;102296;1486;103858;16;1
02/12/2023;78;102304;1486;103868;8;0
2/13/2023;79;102311;1486;103876;7;0
2/14/2023;73;102322;1486;103881;11;0
2/15/2023;73;102322;1486;103881;0;0
2/16/2023;71;102345;1486;103902;23;0
2/17/2023;69;102353;1486;103908;8;0
2/18/2023;69;102362;1486;103917;9;0
2/19/2023;69;102362;1486;103917;0;0
2/20/2023;65;102377;1486;103928;15;0
2/21/2023;65;102377;1486;103928;0;0
2/22/2023;75;102384;1486;103945;7;0
2/23/2023;75;102384;1486;103945;0;0
2/24/2023;65;102410;1486;103961;26;0
2/25/2023;75;102410;1486;103971;0;0
2/26/2023;68;102422;1486;103976;12;0
2/27/2023;68;102422;1486;103976;0;0
2/28/2023;68;102422;1486;103976;0;0
03/01/2023;77;102444;1486;104007;22;0
03/02/2023;82;102452;1486;104020;8;0
03/03/2023;82;102452;1486;104020;0;0
03/04/2023;78;102471;1486;104035;19;0
03/05/2023;78;102471;1486;104035;0;0
03/06/2023;78;102471;1486;104035;0;0
03/07/2023;76;102478;1486;104040;7;0
03/08/2023;81;102491;1486;104058;13;0
03/09/2023;87;102496;1486;104069;5;0
03/10/2023;87;102496;1486;104069;0;0
03/11/2023;79;102528;1486;104093;32;0
03/12/2023;79;102528;1486;104093;0;0
3/13/2023;65;102553;1486;104104;25;0
3/14/2023;74;102560;1486;104120;7;0
3/15/2023;79;102563;1486;104128;3;0
3/16/2023;79;102563;1486;104128;0;0
3/17/2023;79;102563;1486;104128;0;0
3/18/2023;79;102563;1486;104128;0;0
3/19/2023;88;102598;1486;104172;35;0
3/20/2023;88;102598;1486;104172;0;0
3/21/2023;90;102617;1486;104193;19;0
3/22/2023;90;102617;1486;104193;0;0
3/23/2023;90;102635;1486;104211;18;0
3/24/2023;90;102635;1486;104211;0;0
3/25/2023;90;102635;1486;104211;0;0
3/26/2023;96;102674;1486;104256;39;0
3/27/2023;96;102674;1486;104256;0;0
3/28/2023;106;102691;1486;104283;17;0
3/29/2023;113;102697;1486;104296;6;0
3/30/2023;108;102711;1486;104305;14;0
3/31/2023;108;102711;1486;104305;0;0
04/01/2023;108;102711;1486;104305;0;0
04/02/2023;108;102711;1486;104305;0;0
04/03/2023;125;102739;1486;104350;28;0
04/04/2023;122;102757;1486;104365;18;0
04/05/2023;122;102778;1486;104386;21;0
04/06/2023;122;102778;1486;104386;0;0
04/07/2023;122;102778;1486;104386;0;0
04/08/2023;131;102810;1486;104427;32;0
04/09/2023;133;102824;1486;104443;14;0
04/10/2023;138;102832;1486;104456;8;0
04/11/2023;150;102847;1486;104483;15;0
04/12/2023;150;102847;1486;104483;0;0
4/13/2023;150;102847;1486;104483;0;0
4/14/2023;150;102847;1486;104483;0;0
4/15/2023;168;102917;1486;104571;70;0
4/16/2023;179;102932;1486;104597;15;0
4/17/2023;179;102932;1486;104597;0;0
4/18/2023;196;102959;1486;104641;27;0
4/19/2023;196;102959;1486;104641;0;0
4/20/2023;196;102959;1486;104641;0;0
4/21/2023;196;102959;1486;104641;0;0
4/22/2023;196;102959;1486;104641;0;0
4/23/2023;196;102959;1486;104641;0;0
4/24/2023;196;102959;1486;104641;0;0
4/25/2023;222;103112;1487;104821;153;1
4/26/2023;238;103132;1487;104857;20;0
4/27/2023;274;103156;1487;104917;24;0
4/28/2023;284;103186;1487;104957;30;0
4/29/2023;284;103186;1487;104957;0;0
4/30/2023;284;103186;1487;104957;0;0
05/01/2023;284;103186;1487;104957;0;0
05/02/2023;361;103282;1488;105131;96;1
05/03/2023;361;103282;1488;105131;0;0
05/04/2023;471;103334;1488;105293;52;0
05/05/2023;471;103334;1488;105293;0;0
05/06/2023;471;103334;1488;105293;0;0
05/07/2023;491;103481;1488;105460;147;0
05/08/2023;491;103481;1488;105460;0;0
05/09/2023;483;103577;1488;105548;96;0
05/10/2023;492;103609;1489;105590;32;1
05/11/2023;516;103633;1489;105638;24;0
05/12/2023;426;103767;1489;105682;134;0
5/13/2023;389;103826;1489;105704;59;0
5/14/2023;340;103890;1489;105719;64;0
5/15/2023;311;103943;1489;105743;53;0
5/16/2023;286;103987;1489;105762;44;0
5/17/2023;289;104008;1489;105786;21;0
5/18/2023;253;104066;1489;105808;58;0
5/19/2023;215;104112;1489;105816;46;0
5/20/2023;192;104153;1489;105834;41;0
5/21/2023;169;104196;1489;105854;43;0
5/22/2023;169;104196;1489;105854;0;0
5/23/2023;177;104239;1489;105905;43;0
5/24/2023;177;104239;1489;105905;0;0
5/25/2023;177;104239;1489;105905;0;0
5/26/2023;177;104239;1489;105905;0;0
5/27/2023;177;104239;1489;105905;0;0
5/28/2023;177;104239;1489;105905;0;0
5/29/2023;173;104352;1489;106014;113;0
5/30/2023;168;104377;1489;106034;25;0
5/31/2023;166;104386;1489;106041;9;0
06/01/2023;144;104418;1489;106051;32;0
06/02/2023;118;104451;1489;106058;33;0
06/03/2023;109;104470;1489;106068;19;0
06/04/2023;99;104490;1489;106078;20;0
06/05/2023;96;104502;1489;106087;12;0
06/06/2023;96;104502;1489;106087;0;0
06/07/2023;84;104528;1489;106101;26;0
06/08/2023;75;104543;1489;106107;15;0
06/09/2023;75;104543;1489;106107;0;0
06/10/2023;75;104543;1489;106107;0;0
06/11/2023;71;104564;1489;106124;21;0
06/12/2023;69;104569;1489;106127;5;0
6/13/2023;69;104569;1489;106127;0;0
6/14/2023;58;104592;1489;106139;23;0
6/15/2023;58;104592;1489;106139;0;0
6/16/2023;51;104608;1489;106148;16;0
6/17/2023;51;104608;1489;106148;0;0
6/18/2023;41;104619;1489;106149;11;0
6/19/2023;32;104632;1489;106153;13;0
6/20/2023;29;104638;1489;106156;6;0
